time,az (m/s^2)
1.802579,-0.0427
1.804421,0.0195
1.81087,0.2708
1.81173,0.3067
1.812232,0.0961
1.813884,-0.0858
1.815605,-0.0116
1.819624,0.1631
1.820343,0.0291
1.828974,-0.0451
1.830016,0.2181
1.830466,0.5627
1.831749,0.3497
1.833499,-0.038
1.836953,-0.0045
1.837983,0.0937
1.844628,-0.1719
1.845131,-0.3107
1.845384,0.0076
1.849283,0.2947
1.849747,0.1942
1.852122,-0.0307
1.85624,-0.0547
1.85891,0.077
1.859326,0.0339
1.865612,-0.1192
1.866012,-0.014
1.86752,0.3258
1.86967,0.2301
1.87314,-0.0523
1.877364,-0.0116
1.877978,0.1726
1.880038,0.1248
1.882581,-0.0308
1.886785,0.0673
1.887345,0.2348
1.889635,0.1894
1.892617,-0.0212
1.895006,-0.1552
1.897295,0.0195
1.899498,0.2205
1.903669,0.0075
1.904239,-0.0428
1.909024,0.2755
1.909559,0.3042
1.910881,0.0434
1.913509,0.0074
1.91632,0.0481
1.918312,0.2013
1.921123,0.1223
1.923352,-0.0667
1.927437,0.0601
1.928005,0.285
1.93014,0.1056
1.932575,-0.1265
1.935122,-0.0643
1.937391,0.1965
1.945119,0.1439
1.945759,-0.0882
1.946149,0.0075
1.947942,0.2683
1.950538,0.187
1.95983,-0.0188
1.960825,0.053
1.961249,0.2276
1.961619,0.0889
1.96353,-0.1336
1.964275,-0.1576
1.967874,0.0052
1.968761,0.0985
1.971106,-0.0068
1.975287,0.0554
1.976025,0.3521
1.978375,0.4598
1.981964,0.1176
1.9836,-0.1241
1.985598,-0.1169
1.988819,-0.057
1.993359,-0.1695
1.994235,-0.1719
1.995159,0.2133
1.998386,0.467
2.001007,0.2708
2.002485,0.0649
2.005612,0.0841
2.01102,0.2085
2.011432,0.01
2.012938,-0.1648
2.01592,0.0171
2.019014,0.3353
2.019453,0.2516
2.024322,-0.0667
2.024836,-0.0236
2.031875,0.2253
2.032368,0.132
2.034421,-0.1217
2.034878,-0.0404
2.039539,0.1846
2.04,0.12
2.046135,-0.1145
2.046614,-0.0762
2.046947,0.2014
2.04958,0.1487
2.052124,-0.0786
2.054871,-0.0475
2.057795,0.1535
2.059175,0.2205
2.062308,0.0817
2.063847,0.0315
2.066596,0.1296
2.069292,0.1488
2.071034,-0.057
2.075403,-0.2102
2.075982,-0.014
2.07842,0.223
2.082119,0.1655
2.082824,0.0817
2.086951,0.2253
2.08841,0.3163
2.092327,0.0243
2.093029,-0.2245
2.09561,-0.0594
2.098044,0.199
